№,Продукт,"Дни просрочки",Сцепка,"Вероятность взыскания","Ставка резерва",База,"Расчет суммы",Потери,База,Расчет,Потери,"Истина/ Ложь для резерва по стандартному сценарию","Истина/ Ложь для резерва по сценарию реструктуризации"
138,Автокредиты,137,Автокредиты137,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
139,Автокредиты,138,Автокредиты138,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
140,Автокредиты,139,Автокредиты139,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
141,Автокредиты,140,Автокредиты140,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
142,Автокредиты,141,Автокредиты141,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
143,Автокредиты,142,Автокредиты142,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
144,Автокредиты,143,Автокредиты143,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
145,Автокредиты,144,Автокредиты144,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
146,Автокредиты,145,Автокредиты145,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
147,Автокредиты,146,Автокредиты146,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
148,Автокредиты,147,Автокредиты147,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
149,Автокредиты,148,Автокредиты148,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
150,Автокредиты,149,Автокредиты149,0.4278829968011,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
151,Автокредиты,150,Автокредиты150,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
152,Автокредиты,151,Автокредиты151,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
153,Автокредиты,152,Автокредиты152,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
154,Автокредиты,153,Автокредиты153,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
155,Автокредиты,154,Автокредиты154,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
156,Автокредиты,155,Автокредиты155,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
157,Автокредиты,156,Автокредиты156,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
158,Автокредиты,157,Автокредиты157,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
159,Автокредиты,158,Автокредиты158,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
160,Автокредиты,159,Автокредиты159,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
161,Автокредиты,160,Автокредиты160,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
162,Автокредиты,161,Автокредиты161,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
163,Автокредиты,162,Автокредиты162,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
164,Автокредиты,163,Автокредиты163,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
165,Автокредиты,164,Автокредиты164,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
166,Автокредиты,165,Автокредиты165,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
167,Автокредиты,166,Автокредиты166,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
168,Автокредиты,167,Автокредиты167,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
169,Автокредиты,168,Автокредиты168,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
170,Автокредиты,169,Автокредиты169,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
171,Автокредиты,170,Автокредиты170,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
172,Автокредиты,171,Автокредиты171,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
173,Автокредиты,172,Автокредиты172,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
174,Автокредиты,173,Автокредиты173,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
175,Автокредиты,174,Автокредиты174,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
176,Автокредиты,175,Автокредиты175,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
177,Автокредиты,176,Автокредиты176,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
178,Автокредиты,177,Автокредиты177,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
179,Автокредиты,178,Автокредиты178,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
180,Автокредиты,179,Автокредиты179,0.3430739598576,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
181,Автокредиты,180,Автокредиты180,0.2886413124097,0.426,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
182,Автокредиты,181,Автокредиты181,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
183,Автокредиты,182,Автокредиты182,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
184,Автокредиты,183,Автокредиты183,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
185,Автокредиты,184,Автокредиты184,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
186,Автокредиты,185,Автокредиты185,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
187,Автокредиты,186,Автокредиты186,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
188,Автокредиты,187,Автокредиты187,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
189,Автокредиты,188,Автокредиты188,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
190,Автокредиты,189,Автокредиты189,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
191,Автокредиты,190,Автокредиты190,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
192,Автокредиты,191,Автокредиты191,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
193,Автокредиты,192,Автокредиты192,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
194,Автокредиты,193,Автокредиты193,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
195,Автокредиты,194,Автокредиты194,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
196,Автокредиты,195,Автокредиты195,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
197,Автокредиты,196,Автокредиты196,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
198,Автокредиты,197,Автокредиты197,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
199,Автокредиты,198,Автокредиты198,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
200,Автокредиты,199,Автокредиты199,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
201,Автокредиты,200,Автокредиты200,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
202,Автокредиты,201,Автокредиты201,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
203,Автокредиты,202,Автокредиты202,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
204,Автокредиты,203,Автокредиты203,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
205,Автокредиты,204,Автокредиты204,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
206,Автокредиты,205,Автокредиты205,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
207,Автокредиты,206,Автокредиты206,0.2886413124097,0.5704,#VALUE!,#VALUE!,#VALUE!,,,,FALSE,FALSE
